import time: self [us] | cumulative | imported package
import time:       565 |        565 |                                       torch.utils.data.datapipes._hook_iterator
import time:       871 |       1435 |                                     torch.utils.data.datapipes._typing
import time:       432 |        432 |                                       torch.utils._import_utils
import time:       529 |        529 |                                         torch.utils.data.datapipes.utils
import time:      1909 |       2437 |                                       torch.utils.data.datapipes.utils.common
import time:       883 |        883 |                                       torch.utils.data.dataset
import time:       988 |       4739 |                                     torch.utils.data.datapipes.datapipe
import time:       576 |       6750 |                                   torch.utils.data.datapipes._decorator
import time:       436 |        436 |                                     torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       652 |       1087 |                                   torch.utils.data.datapipes.dataframe.structures
import time:      1208 |       9044 |                                 torch.utils.data.datapipes.dataframe.dataframes
import time:       761 |        761 |                                 torch.utils.data.datapipes.dataframe.datapipes
import time:      1337 |      11141 |                               torch.utils.data.datapipes.dataframe
import time:       877 |        877 |                                       torch.utils.data._utils.collate
import time:       477 |        477 |                                       torch.utils.data._utils.fetch
import time:       424 |        424 |                                       torch.utils.data._utils.pin_memory
import time:       403 |        403 |                                       torch.utils.data._utils.signal_handling
import time:       901 |        901 |                                         ctypes.wintypes
import time:      1467 |       2368 |                                       torch.utils.data._utils.worker
import time:       656 |       5203 |                                     torch.utils.data._utils
import time:        20 |       5223 |                                   torch.utils.data._utils.collate
import time:       945 |       6168 |                                 torch.utils.data.datapipes.iter.callable
import time:       891 |        891 |                                   torch.utils.data.sampler
import time:       814 |       1705 |                                 torch.utils.data.datapipes.iter.combinatorics
import time:      1024 |       1024 |                                 torch.utils.data.datapipes.iter.combining
import time:       453 |        453 |                                   torch.utils.data.datapipes.iter.utils
import time:       515 |        968 |                                 torch.utils.data.datapipes.iter.filelister
import time:       511 |        511 |                                 torch.utils.data.datapipes.iter.fileopener
import time:       545 |        545 |                                 torch.utils.data.datapipes.iter.grouping
import time:       616 |        616 |                                   torch.utils.data.datapipes.utils.decoder
import time:       482 |       1098 |                                 torch.utils.data.datapipes.iter.routeddecoder
import time:      1372 |       1372 |                                 torch.utils.data.datapipes.iter.selecting
import time:      1400 |       1400 |                                 torch.utils.data.datapipes.iter.sharding
import time:       622 |        622 |                                 torch.utils.data.datapipes.iter.streamreader
import time:       626 |      16034 |                               torch.utils.data.datapipes.iter
import time:       715 |        715 |                                 torch.utils.data.datapipes.map.callable
import time:       525 |        525 |                                 torch.utils.data.datapipes.map.combinatorics
import time:       614 |        614 |                                 torch.utils.data.datapipes.map.combining
import time:       605 |        605 |                                 torch.utils.data.datapipes.map.grouping
import time:       604 |        604 |                                 torch.utils.data.datapipes.map.utils
import time:       628 |       3689 |                               torch.utils.data.datapipes.map
import time:       635 |      31498 |                             torch.utils.data.datapipes
import time:        18 |      31515 |                           torch.utils.data.datapipes.iter
import time:        18 |      31533 |                         torch.utils.data.datapipes.iter.sharding
import time:       551 |        551 |                         torch.utils.data.graph
import time:       534 |      32617 |                       torch.utils.data.graph_settings
import time:      1005 |      96873 |                     torch.utils.data.dataloader
import time:       527 |        527 |                     torch.utils.data.distributed
import time:       518 |      97917 |                   torch.utils.data
import time:       477 |        477 |                   torch.utils.deterministic
import time:       546 |        546 |                   torch.utils.hooks
import time:       648 |        648 |                   torch.utils.backend_registration
import time:       639 |        639 |                   torch.utils.cpp_backtrace
import time:       534 |        534 |                   torch.utils.throughput_benchmark
import time:       614 |     103399 |                 torch.utils
import time:      1836 |       1836 |                 torchgen
import time:       620 |        620 |                     torchgen.code_template
import time:      1469 |       2089 |                   torchgen.utils
import time:     14075 |      16163 |                 torchgen.model
import time:      1843 |     123240 |               torch.utils._python_dispatch
import time:      1469 |     125870 |             torch.nn.modules.module
import time:       538 |        538 |                   torch.distributed.rpc
import time:      1349 |       1349 |                               pickletools
import time:       568 |        568 |                               torch.package._digraph
import time:       372 |        372 |                               torch.package._importlib
import time:       374 |        374 |                               torch.package._mangling
import time:       455 |        455 |                                 torch.package.importer
import time:       390 |        844 |                               torch.package._package_pickler
import time:       608 |        608 |                               torch.package._stdlib
import time:       384 |        384 |                               torch.package.find_file_dependencies
import time:       466 |        466 |                               torch.package.glob_group
import time:      1372 |       6335 |                             torch.package.package_exporter
import time:       571 |       6905 |                           torch.package.analyze.find_first_use_of_broken_modules
import time:       531 |        531 |                           torch.package.analyze.trace_dependencies
import time:       644 |       8079 |                         torch.package.analyze
import time:       646 |       8725 |                       torch.package.analyze.is_from_package
import time:       429 |        429 |                       torch.package.file_structure_representation
import time:       471 |        471 |                         torch.package._directory_reader
import time:       389 |        389 |                         torch.package._package_unpickler
import time:       983 |       1841 |                       torch.package.package_importer
import time:       648 |      11642 |                     torch.package
import time:        24 |      11665 |                   torch.package._mangling
import time:       576 |        576 |                   torch._awaits
import time:       497 |        497 |                   torch.futures
import time:       957 |      14231 |                 torch._jit_internal
import time:      2066 |       2066 |                 torch._torch_docs
import time:       510 |        510 |                 torch.nn._reduction
import time:       394 |        394 |                   torch.nn.modules.utils
import time:       398 |        792 |                 torch.nn.grad
import time:      5574 |      23172 |               torch.nn.functional
