hq_id,identity,partition,family,condition,radius,feather,full_face_lpips,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
26788,1600,tuning,brush,shift,24,2,0.10540230572223663,0.2191639244556427,10.607278626430524,0.035881925374269485,0.16620291769504547,0.3235626220703125,0.076263427734375,0.0200042724609375,0.0200042724609375
26788,1600,tuning,brush,shift,24,4,0.10446860641241074,0.2191639244556427,10.607278626430524,0.035548921674489975,0.16620291769504547,0.3235626220703125,0.076263427734375,0.0200042724609375,0.0200042724609375
26788,1600,tuning,brush,shift,24,8,0.10218410193920135,0.2191639244556427,10.607278626430524,0.03457725793123245,0.16620291769504547,0.3235626220703125,0.076263427734375,0.0200042724609375,0.0200042724609375
26788,1600,tuning,brush,mixed_boundary,0,0,0.14393790066242218,0.29304933547973633,8.901071838974705,0.00010087511327583343,0.3237721621990204,0.027141237631440163,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,0,2,0.14359228312969208,0.29348477721214294,8.905108562203385,9.077094728127122e-05,0.3237721621990204,0.024422630667686462,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,0,4,0.1428522765636444,0.2943018972873688,8.902543325374749,7.191209442680702e-05,0.3237721621990204,0.01934850960969925,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,0,8,0.14318634569644928,0.29700714349746704,8.861768508861228,4.332562457420863e-05,0.3237721621990204,0.011657096445560455,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,2,0,0.14301034808158875,0.2524873912334442,9.597880265927836,0.00024104677140712738,0.3177586793899536,0.03413105010986328,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,2,2,0.1421540379524231,0.2525649964809418,9.614534603368895,0.00021371689217630774,0.31796959042549133,0.03413105010986328,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,2,4,0.14173252880573273,0.25352752208709717,9.628710655753327,0.0001720993168419227,0.3197072446346283,0.033335525542497635,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,2,8,0.14179787039756775,0.25921523571014404,9.567335441314077,0.00011582471779547632,0.32156863808631897,0.024601846933364868,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,4,0,0.11981028318405151,0.2027931660413742,10.302022933879018,0.00043391180224716663,0.27332571148872375,0.03233223408460617,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,4,2,0.11885389685630798,0.20378857851028442,10.304895339422382,0.00039159372681751847,0.2760310769081116,0.03233223408460617,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,4,4,0.11859213560819626,0.20589785277843475,10.31708409831213,0.0003145290247630328,0.28176358342170715,0.03233223408460617,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,4,8,0.12086430937051773,0.21315495669841766,10.327663730348856,0.00021226143871899694,0.29680225253105164,0.02936054952442646,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,8,0,0.047311052680015564,0.11582665890455246,13.924343350767785,0.001970413839444518,0.16607920825481415,0.043929196894168854,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,8,2,0.047001276165246964,0.11585452407598495,13.934306748158038,0.0018616537563502789,0.1661549210548401,0.043929196894168854,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,8,4,0.04641217365860939,0.11633724719285965,13.950809208602069,0.0016033449210226536,0.16746686398983002,0.043929196894168854,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,8,8,0.05612941086292267,0.12107045203447342,13.880213547758117,0.0011396012268960476,0.18033066391944885,0.043929196894168854,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,12,0,0.0316612645983696,0.10548298805952072,14.868859296231712,0.004492873325943947,0.1295969933271408,0.06115015596151352,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,12,2,0.03160741180181503,0.10548298805952072,14.868859296231712,0.004396223928779364,0.1295969933271408,0.06115015596151352,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,12,4,0.03235046565532684,0.10597334802150726,14.855208471694258,0.00416276790201664,0.13092966377735138,0.06115015596151352,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,12,8,0.03468744456768036,0.10815084725618362,14.77327608432103,0.0034684641286730766,0.1368476301431656,0.06115015596151352,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,16,0,0.04330940917134285,0.13040319085121155,14.005370117123805,0.007507373113185167,0.15142880380153656,0.07100807130336761,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,16,2,0.04308779537677765,0.13040319085121155,14.005370117123805,0.007408238481730223,0.15142880380153656,0.07100807130336761,0.076263427734375,0.0034332275390625,0.0280609130859375
26788,1600,tuning,brush,mixed_boundary,16,4,0.04277203604578972,0.13040319085121155,14.005370117123805,0.007183183450251818,0.15142880380153656,0.07100807130336761,0.076263427734375,0.0034332275390625,0.0280609130859375
