backbone,variant,training_seed,compositor,threshold,hq_id,identity,location,missing_pixels,condition,full_face_lpips,brier_score,effective_fp_fraction,effective_fn_fraction,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
lama,generic,17,hard,0.65,20832,4516,eye_center,6554,under,0.13052994012832642,0.0014684014022350311,0.00042724609375,0.0015411376953125,0.27861523628234863,9.171762059096821,2.9599281333503313e-05,0.317072331905365,,0.100006103515625,0.0,0.0200042724609375
lama,generic,17,probability_alpha,0.65,20832,4516,eye_center,6554,under,0.12980757653713226,0.0014684014022350311,0.00042724609375,0.0015411376953125,0.2790350615978241,9.178500784297299,2.3833099476178177e-05,0.31928780674934387,,0.100006103515625,0.0,0.0200042724609375
lama,generic,17,hard,0.65,20832,4516,eye_center,6554,over,0.12958458065986633,0.0014745602384209633,0.000396728515625,0.001495361328125,0.2790987193584442,9.085728527026188,2.5737957912497222e-05,,0.0011235784040763974,0.100006103515625,0.0200042724609375,0.0
lama,generic,17,probability_alpha,0.65,20832,4516,eye_center,6554,over,0.12809455394744873,0.0014745602384209633,0.000396728515625,0.001495361328125,0.279540091753006,9.092417149528323,2.130213579221163e-05,,0.0009333946509286761,0.100006103515625,0.0200042724609375,0.0
lama,generic,17,hard,0.65,20832,4516,eye_center,6554,mixed,0.13295738399028778,0.0015282953390851617,0.000457763671875,0.0016326904296875,0.27990955114364624,9.149483131064466,2.97992373816669e-05,0.31833794713020325,0.001292483415454626,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,generic,17,probability_alpha,0.65,20832,4516,eye_center,6554,mixed,0.13197600841522217,0.0015282953390851617,0.000457763671875,0.0016326904296875,0.2801622450351715,9.159871058621393,2.350868635403458e-05,0.31972286105155945,0.0010220176773145795,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,generic,17,hard,0.65,20832,4516,mouth_center,6554,accurate,0.10048145055770874,0.0021829879842698574,0.0014495849609375,0.00103759765625,0.25226691365242004,9.553023435350244,7.504536915803328e-05,,,0.100006103515625,0.0,0.0
lama,generic,17,probability_alpha,0.65,20832,4516,mouth_center,6554,accurate,0.10028955340385437,0.0021829879842698574,0.0014495849609375,0.00103759765625,0.25258150696754456,9.55632669663172,5.988184057059698e-05,,,0.100006103515625,0.0,0.0
lama,generic,17,hard,0.65,20832,4516,mouth_center,6554,under,0.097496896982193,0.002227133372798562,0.0014495849609375,0.0008544921875,0.24568705260753632,9.74467635662638,7.361057942034677e-05,0.22354573011398315,,0.100006103515625,0.0,0.0200042724609375
lama,generic,17,probability_alpha,0.65,20832,4516,mouth_center,6554,under,0.09739051759243011,0.002227133372798562,0.0014495849609375,0.0008544921875,0.24598422646522522,9.748902825721133,5.760509520769119e-05,0.22524604201316833,,0.100006103515625,0.0,0.0200042724609375
lama,generic,17,hard,0.65,20832,4516,mouth_center,6554,over,0.09829843789339066,0.002241561422124505,0.0014801025390625,0.001129150390625,0.24432866275310516,10.072277923262067,8.179156429832801e-05,,0.0036091271322220564,0.100006103515625,0.0200042724609375,0.0
lama,generic,17,probability_alpha,0.65,20832,4516,mouth_center,6554,over,0.09809520095586777,0.002241561422124505,0.0014801025390625,0.001129150390625,0.24457283318042755,10.078033726466572,6.668498826911673e-05,,0.0029487458523362875,0.100006103515625,0.0200042724609375,0.0
lama,generic,17,hard,0.65,20832,4516,mouth_center,6554,mixed,0.09939398616552353,0.002509439829736948,0.00164794921875,0.0012664794921875,0.26228639483451843,9.669034964299993,8.011243335204199e-05,0.23482389748096466,0.0033991544041782618,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,generic,17,probability_alpha,0.65,20832,4516,mouth_center,6554,mixed,0.09915603697299957,0.002509439829736948,0.00164794921875,0.0012664794921875,0.262429803609848,9.675882525113614,6.466945342253894e-05,0.235638827085495,0.0027520873118191957,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,generic,17,hard,0.65,20832,4516,upper_image,6554,accurate,0.1099884957075119,0.010224860161542892,0.0101318359375,0.0010223388671875,0.27523624897003174,9.15172577019452,0.0006397970137186348,,,0.100006103515625,0.0,0.0
lama,generic,17,probability_alpha,0.65,20832,4516,upper_image,6554,accurate,0.10866729170084,0.010224860161542892,0.0101318359375,0.0010223388671875,0.2760064899921417,9.155036763740213,0.0005313396686688066,,,0.100006103515625,0.0,0.0
lama,generic,17,hard,0.65,20832,4516,upper_image,6554,under,0.10730546712875366,0.011731957085430622,0.0127716064453125,0.0006103515625,0.2725464999675751,9.293861407550422,0.0008893238264136016,0.21779261529445648,,0.100006103515625,0.0,0.0200042724609375
lama,generic,17,probability_alpha,0.65,20832,4516,upper_image,6554,under,0.10661258548498154,0.011731957085430622,0.0127716064453125,0.0006103515625,0.2736786901950836,9.292152234196815,0.0007392073748633265,0.223515123128891,,0.100006103515625,0.0,0.0200042724609375
