backbone,radius,feather,hq_id,identity,location,missing_pixels,condition,full_face_lpips,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
lama,8,0,22210,4372,mouth_center,1966,over,0.0408923514187336,0.11108440905809402,16.48173470651426,0.0016972871962934732,,0.06708671897649765,0.029998779296875,0.0059967041015625,0.0
lama,8,0,22210,4372,mouth_center,1966,mixed,0.0408923514187336,0.11108440905809402,16.48173470651426,0.0016972871962934732,0.08148877322673798,0.06708671897649765,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,8,0,22210,4372,upper_image,1966,accurate,0.009897172451019287,0.03649510070681572,26.76126518250775,0.0009749955497682095,,,0.029998779296875,0.0,0.0
lama,8,0,22210,4372,upper_image,1966,under,0.007507117465138435,0.02690003626048565,28.926160442325095,0.0007330201915465295,0.020513499155640602,,0.029998779296875,0.0,0.0059967041015625
lama,8,0,22210,4372,upper_image,1966,over,0.008940964005887508,0.03508376330137253,26.9802718117781,0.0013216630322858691,,0.028082318603992462,0.029998779296875,0.0059967041015625,0.0
lama,8,0,22210,4372,upper_image,1966,mixed,0.008940964005887508,0.03508376330137253,26.9802718117781,0.0013216630322858691,0.027964839711785316,0.028082318603992462,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,8,0,22210,4372,eye_center,3932,accurate,0.056966789066791534,0.12446730583906174,14.94932621547772,0.001877065165899694,,,0.05999755859375,0.0,0.0
lama,8,0,22210,4372,eye_center,3932,under,0.04892244189977646,0.1183781698346138,14.826813037898383,0.0009816837264224887,0.08286315947771072,,0.05999755859375,0.0,0.011993408203125
lama,8,0,22210,4372,eye_center,3932,over,0.06040075048804283,0.13362064957618713,14.410694759008365,0.0033619964960962534,,0.08287665992975235,0.05999755859375,0.011993408203125,0.0
lama,8,0,22210,4372,eye_center,3932,mixed,0.06040075048804283,0.13362064957618713,14.410694759008365,0.0033619964960962534,0.105991430580616,0.08287665992975235,0.05999755859375,0.011993408203125,0.011993408203125
lama,8,0,22210,4372,mouth_center,3932,accurate,0.060137879103422165,0.10203273594379425,16.88601217621205,0.0015562804182991385,,,0.05999755859375,0.0,0.0
lama,8,0,22210,4372,mouth_center,3932,under,0.04442819207906723,0.08957245200872421,17.61051994357874,0.0008077536476776004,0.05852509289979935,,0.05999755859375,0.0,0.011993408203125
lama,8,0,22210,4372,mouth_center,3932,over,0.060673270374536514,0.10633067041635513,16.524159544739035,0.0022928405087441206,,0.059551727026700974,0.05999755859375,0.011993408203125,0.0
lama,8,0,22210,4372,mouth_center,3932,mixed,0.060673270374536514,0.10633067041635513,16.524159544739035,0.0022928405087441206,0.0700690820813179,0.059551727026700974,0.05999755859375,0.011993408203125,0.011993408203125
lama,8,0,22210,4372,upper_image,3932,accurate,0.017893871292471886,0.08419937640428543,19.009997437408956,0.0018849106272682548,,,0.05999755859375,0.0,0.0
lama,8,0,22210,4372,upper_image,3932,under,0.010231992229819298,0.05139600858092308,23.379640747201233,0.001034000189974904,0.05466398596763611,,0.05999755859375,0.0,0.011993408203125
lama,8,0,22210,4372,upper_image,3932,over,0.04337240755558014,0.1459268033504486,14.327867779842943,0.0033637937158346176,,0.08686947077512741,0.05999755859375,0.011993408203125,0.0
lama,8,0,22210,4372,upper_image,3932,mixed,0.04337240755558014,0.1459268033504486,14.327867779842943,0.0033637937158346176,0.12704835832118988,0.08686947077512741,0.05999755859375,0.011993408203125,0.011993408203125
lama,8,0,22210,4372,eye_center,6554,accurate,0.07842525094747543,0.11633540689945221,15.273826742654148,0.0018435103120282292,,,0.100006103515625,0.0,0.0
lama,8,0,22210,4372,eye_center,6554,under,0.08656835556030273,0.11884622275829315,14.79885165256942,0.0009082799660973251,0.07502344250679016,,0.100006103515625,0.0,0.0200042724609375
lama,8,0,22210,4372,eye_center,6554,over,0.07871509343385696,0.1222715675830841,14.802577763139631,0.003292972920462489,,0.05796666815876961,0.100006103515625,0.0200042724609375,0.0
