identity,case_id,scale,strength,compositor,full_face_lpips,hole_mae,visible_mae,inner_boundary_mae,inference_seconds,output_sha256
1293,identity_1293,0.8,0.99,hard,0.06009859964251518,0.15775556862354279,0.0,0.12192793935537338,10.036097900010645,dc399e92287e77779c1a907b22c3a0da28714852c0c5456dd276f99de6b3c0a5
1293,identity_1293,0.8,0.99,poisson,0.03636975213885307,0.07566004991531372,0.0,0.022001119330525398,10.036097900010645,5ef5306390862ee95209e228becb62534e020bc227e774e02c81805b4e03fa64
376,identity_376,0.0,1.0,hard,0.04589209333062172,0.11421916633844376,0.0,0.07288901507854462,9.92231680000259,ddf446cfb3495dec4ea45062f5bdc44cafd7f6944555e944aad6a5352bfa2ded
376,identity_376,0.0,1.0,poisson,0.03793720155954361,0.09986107796430588,0.0,0.03126552700996399,9.92231680000259,ee31789df2553f9acef69a8b8ca9147dc3810ed350c8de36a07730d6de7679b8
376,identity_376,0.0,0.99,hard,0.05475262552499771,0.14265663921833038,0.0,0.09733586013317108,9.750754399996367,c492d5411437b094e2d8e1a63336bba9ef7f5c99df6a9664e14b1f021fa16d1f
376,identity_376,0.0,0.99,poisson,0.03677964210510254,0.10628805309534073,0.0,0.026710273697972298,9.750754399996367,6ed202439cedb49da7261ab7d39f91e2a83832735e85c9563a4275dd0d7661ce
376,identity_376,0.8,1.0,hard,0.043995555490255356,0.11093778908252716,0.0,0.061159648001194,14.089728300008574,bb2af6ddc13773f3f6ba33e55ed684a1807e9f93f51069287cbb6868f22d5891
376,identity_376,0.8,1.0,poisson,0.036349840462207794,0.1025414764881134,0.0,0.028946833685040474,14.089728300008574,9546fa0150816ed1632be1a6fcba45a80fd4686f1c71f1f03fc4da8098e1d199
376,identity_376,0.8,0.99,hard,0.05421130359172821,0.13698764145374298,0.0,0.09929414093494415,33.517253199999686,d102d937b5effb4fd551a2a116d8208c6d2cf44b72e4f740bdfeb443eebb7a41
376,identity_376,0.8,0.99,poisson,0.03344262018799782,0.1067599505186081,0.0,0.027218515053391457,33.517253199999686,937772eac379229a4f16914b49192b32a34ce04ca2d65e0a4eeb7f1fe1ec30c5
1027,identity_1027,0.0,1.0,hard,0.07192922383546829,0.20181313157081604,0.0,0.1468285471200943,26.628276300005382,4a91020e5e5f9389eefa2339143dab309109dcbc30570e3153961a034a559c4e
1027,identity_1027,0.0,1.0,poisson,0.027735264971852303,0.07415825873613358,0.0,0.015070433728396893,26.628276300005382,d96908aa93eff6c2b81dc2e4c6ca98dce5152abdaeb7548a75aa1e52898c3178
1027,identity_1027,0.0,0.99,hard,0.06557673215866089,0.13645897805690765,0.0,0.10736935585737228,28.02209519999451,3901ff965963002a65b89b9e474f7c5f06d3da69dfd9b0eedfae9dc39bfc3c0f
1027,identity_1027,0.0,0.99,poisson,0.02313574030995369,0.058596719056367874,0.0,0.014284232631325722,28.02209519999451,c8930f914aed8ccf95a1c48a6aac7f4554d691d3e4cd07db75e482487a7e515e
1027,identity_1027,0.8,1.0,hard,0.07151433825492859,0.197690948843956,0.0,0.1520884484052658,25.45587119999982,77250ec50401cf616f8b0ae57b333a59c26e09cff1022763ced33b9e10a2ebc7
1027,identity_1027,0.8,1.0,poisson,0.031151818111538887,0.08821818232536316,0.0,0.014918478205800056,25.45587119999982,35213ede073cd341f4b7a1c58337e38212011c78d017bb1633fa685cdf5a01c8
1027,identity_1027,0.8,0.99,hard,0.06807120144367218,0.1486397683620453,0.0,0.10708855837583542,26.30966330000956,566c525c305ee92a7348181891bc5de7e5513ec6216a9cefe5bea6cd7733552e
1027,identity_1027,0.8,0.99,poisson,0.03124241903424263,0.0731550008058548,0.0,0.013731625862419605,26.30966330000956,ad1bb32dee9190612a45c462bbb7a7a6f734667b417ff476d0870832379100e2
3731,identity_3731,0.0,1.0,hard,0.07039906829595566,0.19014999270439148,0.0,0.1519428938627243,25.350264000007883,747f30e4a318783252f99e317310c852cf08bc33dc460ddeeaf768473caa0587
3731,identity_3731,0.0,1.0,poisson,0.025463927537202835,0.07922758907079697,0.0,0.021217068657279015,25.350264000007883,05707fa086faf78dba8b8163cdcbc231f8bdef5abc1b7b7f4dc5fe209ce704c4
3731,identity_3731,0.0,0.99,hard,0.051112279295921326,0.1350322812795639,0.0,0.1046232283115387,24.595860400004312,7afade4ec1730afc30fc27d26dc0e7559eba7b15819ce542d7ce1b287ebe6dd0
3731,identity_3731,0.0,0.99,poisson,0.02421043999493122,0.07589173316955566,0.0,0.01843598298728466,24.595860400004312,955b1d93455be0e81f3a8df098961cc519b1ca7a894325d7c0d56d390c41c94b
3731,identity_3731,0.8,1.0,hard,0.07222945988178253,0.17638419568538666,0.0,0.15596939623355865,25.64834349999728,281cd0b888ffb5cc869c0782d55758e08e2a1303300f1d46f4c159517fc9d76d
3731,identity_3731,0.8,1.0,poisson,0.02771829254925251,0.09090524911880493,0.0,0.02034185081720352,25.64834349999728,825c3a3c3ca0ff5d5d69b49a6c095f2377831a84b353cbd9beeb778373afdacd
3731,identity_3731,0.8,0.99,hard,0.054354675114154816,0.13763684034347534,0.0,0.10696008056402206,24.450370000005933,6bef12df81af71c3773bdef7cb95fc8dc92007472bbdc7406f652c7d1ffd44f2
3731,identity_3731,0.8,0.99,poisson,0.0270383358001709,0.10425739735364914,0.0,0.019204309210181236,24.450370000005933,b9f2218c49064dcdd2a3f01d5e75632744d5b5412517cf5b1fbc08c0d9783132
56,identity_56,0.0,1.0,hard,0.0678412988781929,0.18996945023536682,0.0,0.2320873886346817,23.243399800005136,2196cb3f960f0d7ffa3b13e8d7a986ad812ae9627fdbf30f06a015226d349917
56,identity_56,0.0,1.0,poisson,0.04601795971393585,0.10645189881324768,0.0,0.022483279928565025,23.243399800005136,4693c4d5205f1cc51e724e1def56ab4b7237c82ed97014ce014d263f507db97d
56,identity_56,0.0,0.99,hard,0.0670313760638237,0.1446598321199417,0.0,0.08125365525484085,26.241862599999877,03bdbd0a51a461503a95145097adb057c7016f8a1f57ed83e7bf85ef3784f461
